stamp,value
2026-06-01T00:00:00Z,17.31
2026-06-01T01:00:00Z,18.33
2026-06-01T02:00:00Z,18.49
2026-06-01T03:00:00Z,19.65
2026-06-01T04:00:00Z,22.09
2026-06-01T05:00:00Z,22.2
2026-06-01T06:00:00Z,24.41
2026-06-01T07:00:00Z,24.99
2026-06-01T08:00:00Z,25.37
2026-06-01T09:00:00Z,25.34
2026-06-01T10:00:00Z,25.59
2026-06-01T11:00:00Z,25.67
2026-06-01T12:00:00Z,24.63
2026-06-01T13:00:00Z,24.55
2026-06-01T14:00:00Z,23.18
2026-06-01T15:00:00Z,22.67
2026-06-01T16:00:00Z,21.39
2026-06-01T17:00:00Z,20.78
2026-06-01T18:00:00Z,18.95
2026-06-01T19:00:00Z,17.99
2026-06-01T20:00:00Z,17.26
2026-06-01T21:00:00Z,17.15
2026-06-01T22:00:00Z,16.78
2026-06-01T23:00:00Z,17.33
2026-06-02T00:00:00Z,17.64
2026-06-02T01:00:00Z,18.32
2026-06-02T02:00:00Z,19.16
2026-06-02T03:00:00Z,19.95
2026-06-02T04:00:00Z,21.39
2026-06-02T05:00:00Z,22.17
2026-06-02T06:00:00Z,23.2
2026-06-02T07:00:00Z,24.21
2026-06-02T08:00:00Z,25.74
2026-06-02T09:00:00Z,25.06
2026-06-02T10:00:00Z,25.57
2026-06-02T11:00:00Z,26.09
2026-06-02T12:00:00Z,25.3
2026-06-02T13:00:00Z,25.45
2026-06-02T14:00:00Z,23.44
2026-06-02T15:00:00Z,22.49
2026-06-02T16:00:00Z,20.68
2026-06-02T17:00:00Z,20.35
2026-06-02T18:00:00Z,19.7
2026-06-02T19:00:00Z,17.88
2026-06-02T20:00:00Z,18.05
2026-06-02T21:00:00Z,16.98
2026-06-02T22:00:00Z,15.91
2026-06-02T23:00:00Z,17.59
